frame_number,timestamp,ball_x,ball_y,player_1_x_meter,player_1_y_meter,player_2_x_meter,player_2_y_meter,is_rally_frame,rally_id,is_wall_hit,wall_hit_x_meter,wall_hit_y_meter,is_racket_hit,racket_hit_player_id,stroke_type,shot_type,shot_direction,shot_depth,point_winner,point_winner_reason,wall_hit_player_id,ball_speed,opponent_distance_moved,wall_hit_height,next_opponent_x,next_opponent_y
13,0.43333333333333335,781.0,387.0,2.013673024732458,7.642025504630851,5.732654093780312,6.193335070132809,True,0,False,,,False,-1,,,,,-1,,,,,,,
14,0.4666666666666667,781.0,387.0,2.01566325263998,7.642676544485544,5.720680774805267,6.200413219344523,True,0,False,,,False,-1,,,,,-1,,,,,,,
15,0.5,781.0,387.0,2.018528634986385,7.643552291662198,5.706803918287331,6.209808655457417,True,0,False,,,False,-1,,,,,-1,,,,,,,
16,0.5333333333333333,781.0,387.0,2.022180143744067,7.644550123615987,5.693044939277548,6.220773369527134,True,0,False,,,False,-1,,,,,-1,,,,,,,
17,0.5666666666666667,781.0,387.0,2.0262014667104378,7.645536008363631,5.680759085265029,6.232517468318363,True,0,False,,,False,-1,,,,,-1,,,,,,,
18,0.6,781.0,387.0,2.02990066824057,7.646410649310425,5.669914031507293,6.244436625415912,True,0,False,,,False,-1,,,,,-1,,,,,,,
19,0.6333333333333333,781.0,387.0,2.0325918543097203,7.647087532162578,5.6590866741420225,6.2558245282408524,True,0,False,,,False,-1,,,,,-1,,,,,,,
20,0.6666666666666666,781.0,387.0,2.033933379232631,7.647379180424178,5.645909685429011,6.26562241882373,True,0,False,,,False,-1,,,,,-1,,,,,,,
21,0.7,781.0,387.0,2.0340547293123423,7.6469513754998415,5.627711608506421,6.272838898859611,True,0,False,,,False,-1,,,,,-1,,,,,,,
22,0.7333333333333333,781.0,387.0,2.0333496762868712,7.645481936438458,5.602158276103781,6.277245768837508,True,0,False,,,False,-1,,,,,-1,,,,,,,
23,0.7666666666666667,781.0,387.0,2.0320748444640557,7.642877267486007,5.567673162169373,6.279462696565519,True,0,False,,,False,-1,,,,,-1,,,,,,,
24,0.8,781.0,387.0,2.030074952240426,7.639246254144934,5.523507861154024,6.280439929030144,True,0,False,,,False,-1,,,,,-1,,,,,,,
25,0.8333333333333334,781.0,387.0,2.0268815758141083,7.634673520850617,5.469536463733322,6.281017460118829,True,0,False,,,False,-1,,,,,-1,,,,,,,
26,0.8666666666666667,781.0,387.0,2.0220934920048244,7.629243750911853,5.406196810641009,6.281726209208966,True,0,False,,,False,-1,,,,,-1,,,,,,,
27,0.9,781.0,387.0,2.0156278390978946,7.623415514203581,5.3350538613512,6.28272702334181,True,0,False,,,False,-1,,,,,-1,,,,,,,
28,0.9333333333333333,781.0,387.0,2.0075244294430656,7.618157061657647,5.25965845441265,6.284218736470642,True,0,False,,,False,-1,,,,,-1,,,,,,,
29,0.9666666666666667,781.0,387.0,1.9974814980510698,7.614457074039441,5.185360467759274,6.287161061991258,True,0,False,,,False,-1,,,,,-1,,,,,,,
30,1.0,781.0,387.0,1.9846426501776557,7.612679755561338,5.117261081212749,6.292955242359328,True,0,False,,,False,-1,,,,,-1,,,,,,,
31,1.0333333333333334,781.0,387.0,1.967945770000767,7.612406999328355,5.057549846785412,6.30162021437018,True,0,False,,,False,-1,,,,,-1,,,,,,,
32,1.0666666666666667,781.0,387.0,1.9468107649054907,7.612787520167628,5.0045995167802975,6.3106284970428685,True,0,False,,,False,-1,,,,,-1,,,,,,,
33,1.1,767.0,381.0,1.9216312138672116,7.612945679712924,4.9548033774997196,6.316414362951732,True,0,False,,,False,-1,,,,,-1,,,,,,,
34,1.1333333333333333,753.0,377.0,1.893749890007419,7.612158066760338,4.90550565519839,6.317140142480858,True,0,False,,,False,-1,,,,,-1,,,,,,,
35,1.1666666666666667,743.0,375.0,1.8651254330456573,7.609974103514066,4.856310959714525,6.313712397130376,True,0,False,,,False,-1,,,,,-1,,,,,,,
36,1.2,725.0,371.0,1.8380454053381536,7.606490534381123,4.807993551184488,6.308387793158779,True,0,False,,,False,-1,,,,,-1,,,,,,,
37,1.2333333333333334,717.0,373.0,1.8147985272487461,7.602466961072709,4.761002174962529,6.302857967555086,True,0,False,,,False,-1,,,,,-1,,,,,,,
