frame_number,timestamp,ball_x,ball_y,player_1_x_meter,player_1_y_meter,player_2_x_meter,player_2_y_meter,is_rally_frame,rally_id,is_wall_hit,wall_hit_x_meter,wall_hit_y_meter,is_racket_hit,racket_hit_player_id,stroke_type,shot_type,shot_direction,shot_depth,point_winner,point_winner_reason,wall_hit_player_id,ball_speed,opponent_distance_moved,wall_hit_height,next_opponent_x,next_opponent_y,player_1_in_t_zone,player_2_in_t_zone,player_1_time_to_t,player_2_time_to_t
13,0.43333333333333335,777.0,389.0,1.9879120118153972,7.680604240493428,5.727347125614627,6.182500208480988,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
14,0.4666666666666667,777.0,389.0,1.98977500818261,7.680760760808511,5.715958315209563,6.192416469410254,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
15,0.5,777.0,389.0,1.9925249600839694,7.680960762353472,5.70253283565598,6.204388279699135,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
16,0.5333333333333333,777.0,389.0,1.9960145076913935,7.681229733748527,5.689159478150067,6.216547208772201,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
17,0.5666666666666667,777.0,389.0,1.9997959926198918,7.68156412371589,5.6773948499476345,6.227579874531273,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
18,0.6,777.0,389.0,2.0032383283814776,7.681907998896121,5.667300457187042,6.237403529141402,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
19,0.6333333333333333,777.0,389.0,2.005762787859691,7.6821748777786025,5.657287328834686,6.246532591965252,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
20,0.6666666666666666,777.0,389.0,2.007078670521621,7.682262068706053,5.6446530465167335,6.255043709830109,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
21,0.7,777.0,389.0,2.0072735920419227,7.682014779702603,5.626458788219802,6.262418818566121,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
22,0.7333333333333333,777.0,389.0,2.006653325746425,7.68119741545439,5.600358675100628,6.268213866401638,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
23,0.7666666666666667,777.0,389.0,2.0054041535498026,7.6795038192680085,5.565014165951564,6.272499860962663,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
24,0.8,777.0,389.0,2.0033571222448248,7.676555336746686,5.519979862227468,6.275647537279386,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
25,0.8333333333333334,777.0,389.0,2.0000962698555202,7.671959912656228,5.465323196785921,6.277954482864152,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
26,0.8666666666666667,777.0,389.0,1.9953094985477882,7.665643002927275,5.401552093358096,6.279477822812143,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
27,0.9,777.0,389.0,1.9889733996486687,7.658301854843702,5.330243394391403,6.280153906688098,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
28,0.9333333333333333,777.0,389.0,1.9811018605596578,7.651349862003302,5.254891863877723,6.280434211421287,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
29,0.9666666666666667,777.0,389.0,1.9713021683093646,7.646120929293988,5.180683700549393,6.281980301383102,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
30,1.0,777.0,389.0,1.9586467809200394,7.643064448734067,5.112529251497684,6.286911275255451,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
31,1.0333333333333334,777.0,389.0,1.942071884265242,7.64171564775951,5.0525759110046335,6.295490412777811,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
32,1.0666666666666667,777.0,389.0,1.9210266839304169,7.641257471376215,4.999362147341887,6.304951025846164,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
33,1.1,767.0,381.0,1.8959134672146092,7.640916518467116,4.9494923533451685,6.311433872473436,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
34,1.1333333333333333,753.0,377.0,1.8680819499953685,7.639956574838378,4.900357158524264,6.313051008602508,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
