frame_number,timestamp,ball_x,ball_y,player_1_x_meter,player_1_y_meter,player_2_x_meter,player_2_y_meter,is_rally_frame,rally_id,is_wall_hit,wall_hit_x_meter,wall_hit_y_meter,is_racket_hit,racket_hit_player_id,stroke_type,shot_type,shot_direction,shot_depth
20,0.3333333333333333,860.741935483871,409.1290322580645,2.010292140123412,7.669228312139397,5.859966125404966,6.126921674328518,True,0,False,,,False,-1,,,,
21,0.35,858.8387096774194,408.5806451612903,2.0093613408978968,7.6657881131050445,5.840464799540385,6.1367278838056585,True,0,False,,,False,-1,,,,
22,0.36666666666666664,856.9354838709678,408.03225806451616,2.0081076778018723,7.662507677556659,5.8162873384902785,6.148799938953173,True,0,False,,,False,-1,,,,
23,0.38333333333333336,855.0322580645161,407.48387096774195,2.0066649782244417,7.659989936318421,5.790782063120341,6.161324014212645,True,0,False,,,False,-1,,,,
24,0.4,853.1290322580645,406.93548387096774,2.0053064649826005,7.658451748240319,5.767724902023516,6.1722551546286795,True,0,False,,,False,-1,,,,
25,0.4166666666666667,851.2258064516129,406.38709677419354,2.004361159043546,7.65776758967931,5.749563274204894,6.180351113237373,True,0,False,,,False,-1,,,,
26,0.43333333333333335,849.3225806451613,405.83870967741933,2.0040464195256513,7.6576552094855455,5.736295525496294,6.185906318453338,True,0,False,,,False,-1,,,,
27,0.45,847.4193548387096,405.2903225806452,2.0043585733713134,7.657815214274998,5.725995052633678,6.190493530599076,True,0,False,,,False,-1,,,,
28,0.4666666666666667,845.516129032258,404.741935483871,2.0051584615106353,7.658009026475238,5.716651244211565,6.195805094566433,True,0,False,,,False,-1,,,,
29,0.48333333333333334,843.6129032258065,404.19354838709677,2.00638056622898,7.658109667236033,5.707542178502009,6.202612473902883,True,0,False,,,False,-1,,,,
30,0.5,841.7096774193549,403.64516129032256,2.008116284010691,7.658112593637958,5.699001383855724,6.210597114657128,True,0,False,,,False,-1,,,,
31,0.5166666666666667,839.8064516129032,403.0967741935484,2.0104478763261486,7.658088981243731,5.691424863837069,6.218804961994968,True,0,False,,,False,-1,,,,
32,0.5333333333333333,837.9032258064516,402.5483870967742,2.01322915992926,7.65811183003488,5.684860135036846,6.226163413671209,True,0,False,,,False,-1,,,,
33,0.55,836.0,402.0,2.01610096950295,7.658202722150157,5.679249234697093,6.231899126504837,True,0,False,,,False,-1,,,,
34,0.5666666666666667,834.0967741935484,401.4516129032258,2.018737718906887,7.658328627668905,5.674601576190419,6.235907905785445,True,0,False,,,False,-1,,,,
35,0.5833333333333334,832.1935483870968,400.9032258064516,2.021023261962211,7.658439392362407,5.670869300158903,6.2389064307184245,True,0,False,,,False,-1,,,,
36,0.6,830.2903225806451,400.35483870967744,2.0229728304644743,7.658514610361191,5.667844327962891,6.242097747174138,True,0,False,,,False,-1,,,,
37,0.6166666666666667,828.3870967741935,399.80645161290323,2.0245641702132438,7.6585810793938744,5.665214694105119,6.246485612834523,True,0,False,,,False,-1,,,,
38,0.6333333333333333,826.483870967742,399.258064516129,2.0257100393291654,7.658682193162573,5.66261452468737,6.252324913336672,True,0,False,,,False,-1,,,,
39,0.65,824.5806451612904,398.7096774193548,2.0263517783298908,7.658820546280632,5.659591407653151,6.259001598299255,True,0,False,,,False,-1,,,,
40,0.6666666666666666,822.6774193548387,398.16129032258067,2.026503388554514,7.658918871255553,5.655628380602134,6.265312710391703,True,0,False,,,False,-1,,,,
